"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",1062.84284097833,0.21647699746034,0.177859957761806,1.2171204816671,0.223558379005171,0.343572151791853
"ENSG00000000005",6.12909164803174,-0.325645961914963,0.432406182638971,-0.753102002213634,0.451388621350644,0.582520076660931
"ENSG00000000419",414.182823728212,0.71910645758486,0.131523272223466,5.46752255648762,4.56369148080611e-08,1.83960446378428e-06
"ENSG00000000457",172.711598974035,-0.249786705636471,0.110014107064194,-2.27049705080748,0.0231774420322142,0.055683351062777
"ENSG00000000460",67.5146143749616,0.943233033514455,0.211065377119876,4.46891407006436,7.86177034200627e-06,9.26131607692168e-05
"ENSG00000000938",95.227829716837,0.289777390867229,0.237342276424009,1.22092614612639,0.222113983895446,0.341739669624309
"ENSG00000000971",2055.59740461367,-0.629269757951219,0.390201651492547,-1.61267835629147,0.106814405156163,0.193013214958477
"ENSG00000001036",628.157257838484,0.107850412965035,0.0705867594129238,1.52791279642295,0.126534190623424,0.220942627945525
"ENSG00000001084",554.373083312894,0.106910335482512,0.136076823866518,0.785661602356209,0.432065764186227,0.563527902760363
"ENSG00000001167",359.119435999401,0.394976196953009,0.121628639469137,3.2473946816879,0.00116466759220832,0.00487769283916476
"ENSG00000001460",115.372653459053,-0.826894860855377,0.18073289264556,-4.57523170658825,4.75693216842469e-06,6.20527071451635e-05
"ENSG00000001461",470.831404447421,-0.451138296377567,0.133864480141214,-3.37011204093619,0.000751376263572576,0.00344211558582572
"ENSG00000001497",458.038623677304,0.499931157515736,0.125441612742308,3.98536934105539,6.73752436476724e-05,0.00050498846827956
"ENSG00000001561",295.787859256791,-0.15291979013112,0.122649894435723,-1.24679919892846,0.212471134309291,0.330244559889271
"ENSG00000001617",286.188830756392,0.354179084273506,0.215860718634517,1.64077598978619,0.10084392409059,0.183940402735353
"ENSG00000001626",1701.25196870518,-0.563209351524762,0.297609097935859,-1.89244668738637,0.0584314905173856,0.118008838736366
"ENSG00000001629",480.414193327383,0.0802206299791712,0.0656711709898235,1.22155016836235,0.221877782847779,0.341473118556613
"ENSG00000001630",90.3670083302799,0.2474256559666,0.170833711944217,1.44834209331817,0.147521400895582,0.248521403392992
"ENSG00000001631",80.5858530452385,0.29711376474931,0.103694961337397,2.86526713465448,0.00416657592150068,0.0137773873998494
"ENSG00000002016",108.035018111761,-0.566948588686202,0.124529357540963,-4.5527303752427,5.29541224820662e-06,6.77946090502109e-05
"ENSG00000002079",2.42378743287669,1.12726169643348,0.57971796009854,1.94450021220986,0.0518351598566644,0.10687553486919
"ENSG00000002330",176.772136745178,-0.57604864569162,0.153036700146771,-3.76412092745829,0.000167135993718947,0.00103212026178167
"ENSG00000002549",1127.24199952155,0.0715769969202254,0.12733922075857,0.562097023162507,0.574049916440872,0.692075293793129
"ENSG00000002586",1361.07535275735,-0.0869245018439474,0.146726292161503,-0.592426214575562,0.553565216455275,0.674424870393648
"ENSG00000002587",83.7399474570031,0.12449953641634,0.161886850125205,0.769052806451237,0.441861962823253,0.572860956024219
